150.0,40.0,0,
300.0,40.0,1,
450.0,40.0,0,
600.0,40.0,0,
750.0,40.0,0,
900.0,40.0,1,
1050.0,40.0,0,
150.0,90.0,1,
300.0,90.0,2,
450.0,90.0,1,
600.0,90.0,1,
750.0,90.0,1,
900.0,90.0,2,
1050.0,90.0,1,
150.0,140.0,0,
300.0,140.0,1,
450.0,140.0,0,
600.0,140.0,0,
750.0,140.0,0,
900.0,140.0,1,
1050.0,140.0,0,
150.0,190.0,0,
300.0,190.0,1,
450.0,190.0,0,
600.0,190.0,0,
750.0,190.0,0,
900.0,190.0,1,
1050.0,190.0,0,
150.0,240.0,1,
300.0,240.0,2,
450.0,240.0,1,
600.0,240.0,1,
750.0,240.0,1,
900.0,240.0,2,
1050.0,240.0,1,
150.0,290.0,0,
300.0,290.0,1,
450.0,290.0,0,
600.0,290.0,0,
750.0,290.0,0,
900.0,290.0,1,
1050.0,290.0,0,
